"Actor_id","Movie_id"
"nm5896355","tt4263482"
"nm5896355","tt4520364"
"nm5896355","tt4972582"
"nm2442289","tt1506999"
"nm2442289","tt1905041"
"nm2442289","tt1431045"
"nm2442289","tt0346631"
"nm0050959","tt4649466"
"nm0050959","tt2034800"
"nm0050959","tt7126948"
"nm3154303","tt5726616"
"nm3154303","tt1226837"
"nm3154303","tt4925292"
"nm3154303","tt3281548"
"nm4456120","tt1343092"
"nm4456120","tt4218572"
"nm4456120","tt3896198"
"nm4456120","tt2719848"
"nm1032473","tt4046784"
"nm1032473","tt1790864"
"nm1032473","tt0314331"
"nm1032473","tt4500922"
"nm0935395","tt1648190"
"nm0935395","tt1389096"
"nm0935395","tt1103153"
"nm0597410","tt0170016"
"nm0597410","tt0287717"
"nm0597410","tt0467110"
"nm10842005","tt10161886"
"nm0840285","tt0098384"
"nm0840285","tt0350258"
"nm0840285","tt0285742"
"nm0840285","tt1320244"
"nm0755267","tt1411250"
"nm0755267","tt2388715"
"nm0607325","tt0110729"
"nm0607325","tt0121765"
"nm0607325","tt0121766"
"nm0607325","tt1477834"
"nm0001840","tt0120762"
"nm0001840","tt0111301"
"nm0001840","tt0173840"
"nm0577982","tt0926084"
"nm0577982","tt0241527"
"nm0577982","tt0373889"
"nm0577982","tt0295297"
"nm1567113","tt1790885"
"nm1567113","tt4209788"
"nm1567113","tt0478304"
"nm1567113","tt0816692"
"nm3948952","tt4912910"
"nm3948952","tt11161474"
"nm3948952","tt9738716"
"nm0000124","tt0268978"
"nm0000124","tt0315983"
"nm0000124","tt0180093"
"nm0000124","tt0102803"
"nm4289392","tt8591260"
"nm4289392","tt2145637"
"nm0192505","tt0884732"
"nm0192505","tt0114857"
"nm1869101","tt1856101"
"nm1869101","tt2382320"
"nm1869101","tt8946378"
"nm0001578","tt0086393"
"nm0001578","tt0083511"
"nm0001578","tt0290086"
"nm0000477","tt0387877"
"nm2933757","tt0451279"
"nm2933757","tt7126948"
"nm2017943","tt0458339"
"nm2017943","tt0864761"
"nm2017943","tt1843866"
"nm2017943","tt0478970"
"nm0680983","tt0467406"
"nm0680983","tt1375666"
"nm0680983","tt0424136"
