"id","name","birthDate","birthPlace","gender"
"nm5896355","Anya Taylor-Joy","1996-04-16","Miami, Florida, USA","female"
"nm2442289","Gina Carano","1982-04-16","Dallas County, Texas, USA","female"
"nm0050959","Pedro Pascal","1975-04-02","Santiago de Chile, Metropolitan Region, Chile","male"
"nm3154303","Timothée Chalamet","1995-12-27","New York City, New York, USA","male"
"nm4456120","Elizabeth Debicki","1990-08-24","Paris, France","female"
"nm1032473","Thomas Brodie-Sangster","1990-05-16","London, England, UK","male"
"nm0935395","Katheryn Winnick","1977-12-17","Toronto, Ontario, Canada","female"
"nm0597410","Taylor Momsen","1993-07-26","St. Louis, Missouri, USA","female"
"nm10842005","Jo Ellen Pellman","1996-10-29","United States","female"
"nm0840285","Carol Sutton","1944-12-03","New Orleans, Louisiana, USA","female"
"nm0755267","Katee Sackhoff","1980-04-08","Portland, Oregon, USA","female"
"nm0607325","Temuera Morrison","1960-12-26","Rotorua, North Island, New Zealand","male"
"nm0001840","Ming-Na Wen","1963-11-20","Coloane Island, Macau","female"
"nm0577982","Harry Melling","1989-03-13","London, England, UK","male"
"nm1567113","Jessica Chastain","1977-03-24","Sacramento, California, USA","female"
"nm3948952","Vanessa Kirby","1988-04-18","London, England, UK","female"
"nm0000124","Jennifer Connelly","1970-12-12","Catskill Mountains, New York, USA","female"
"nm4289392","Lindsey Morgan","1990-02-27","Georgia, USA","female"
"nm0192505","Kaley Cuoco","1985-11-30","Camarillo, California, USA","female"
"nm1869101","Ana de Armas","1988-04-30","Havana, Cuba","female"
"nm0001578","Annette O'Toole","1952-04-01","Houston, Texas, USA","female"
"nm0000477","Mia Kirshner","1975-01-25","Toronto, Ontario, Canada","female"
"nm2933757","Gal Gadot","1985-04-30","Rosh Ha'ayin, Israel","female"
"nm2017943","Hayley Atwell","1982-04-05","London, England, UK","female"
"nm0680983","Elliot Page","1987-02-21","Halifax, Nova Scotia, Canada","male"
"nm1227814","Vanessa Hudgens","1988-12-14","Salinas, California, USA","female"
"nm0221046","Zooey Deschanel","1980-01-17","Los Angeles, California, USA","female"
"nm4496875","Mackenzie Davis","1987-04-01","Vancouver, British Columbia, Canada","female"
"nm6999240","Josh Swickard","1992-07-04","Quincy, Illinois, USA","male"
"nm0000170","Milla Jovovich","1975-12-17","Kiev, Ukrainian SSR, USSR [now Ukraine]","female"
"nm0000749","Mädchen Amick","1970-12-12","Sparks, Nevada, USA","female"
"nm0206257","Rosario Dawson","1979-05-09","New York City, New York, USA","female"
"nm0000173","Nicole Kidman","1967-06-20","Honolulu, Hawaii, USA","female"
"nm0710330","Andrew Rannells","1978-08-23","Omaha, Nebraska, USA","male"
"nm0104114","Richard Brake","1964-11-30","Ystrad Mynach, Hengoed, Wales, UK","male"
"nm0159789","Hayden Christensen","1981-04-19","Vancouver, British Columbia, Canada","male"
"nm0376540","Martin Henderson","1974-10-08","Auckland, New Zealand","male"
"nm1072555","Morena Baccarin","1979-06-02","Rio de Janeiro, Rio de Janeiro, Brazil","female"
"nm1716636","Marielle Heller","1979-10-01","Marin County, California, USA","female"
"nm0000129","Tom Cruise","1962-07-03","Syracuse, New York, USA","male"
"nm0718237","Ann Reinking","1949-11-10","Seattle, Washington, USA","female"
"nm0001573","Catherine O'Hara","1954-03-04","Toronto, Ontario, Canada","female"
"nm0001303","Carla Gugino","1971-08-29","Sarasota, Florida, USA","female"
"nm0000434","Mark Hamill","1951-09-25","Oakland, California, USA","male"
"nm0691600","Anna Popplewell","1988-12-16","London, England, UK","female"
"nm0002907","Alexander Skarsgård","1976-08-25","Stockholm, Stockholms län, Sweden","male"
"nm0000158","Tom Hanks","1956-07-09","Concord, California, USA","male"
"nm2391794","Dan Levy","1983-08-09","Toronto, Ontario, Canada","male"
"nm0000093","Brad Pitt","1963-12-18","Shawnee, Oklahoma, USA","male"
"nm0593310","Elizabeth Mitchell","1970-03-27","Los Angeles, California, USA","female"
"nm2946516","Claire Foy","1984-04-16","Stockport, England, UK","female"
"nm0000658","Meryl Streep","1949-06-22","Summit, New Jersey, USA","female"
"nm0122987","Bill Burr","1968-06-10","Canton, Massachusetts, USA","male"
"nm1667364","Ashley Benson","1989-12-18","Long Beach, California, USA","female"
"nm1275259","Alexandra Daddario","1986-03-16","New York City, New York, USA","female"
"nm4796309","Josie Totah","2001-08-05","Sacramento, California, USA","female"
"nm1555340","Alison Brie","1982-12-29","Hollywood, Los Angeles, California, USA","female"
"nm3663196","Ariana DeBose","1991-01-25","North Carolina, USA","female"
"nm1269983","Krysten Ritter","1981-12-16","Bloomsburg, Pennsylvania, USA","female"
"nm3592338","Emilia Clarke","1986-10-23","London, England, UK","female"
"nm1105980","Kathryn Newton","1997-02-08","Orlando, Florida, USA","female"
"nm0005017","Katie Holmes","1978-12-18","Toledo, Ohio, USA","female"
"nm0000346","Macaulay Culkin","1980-08-26","New York City, New York, USA","male"
"nm7006860","Matilda De Angelis","1995-09-11","Bologna, Emilia-Romagna, Italy","female"
"nm0001474","Tom Lister Jr.","1958-06-24","Compton, California, USA","male"
"nm4141252","Lily James","1989-04-05","Esher, Surrey, England, UK","female"
"nm0935541","Mary Elizabeth Winstead","1984-11-28","Rocky Mount, North Carolina, USA","female"
"nm1379938","Travis Fimmel","1979-07-15","nr. Echuca, Victoria, Australia","male"
"nm1890784","Michelle Dockery","1981-12-15","Barking, Essex, England, UK","female"
"nm0000206","Keanu Reeves","1964-09-02","Beirut, Lebanon","male"
"nm3014031","Rachel Brosnahan","1990-07-12","Milwaukee, Wisconsin, USA","female"
