"id","rate","titletype","title","canRate","releaseDate","runningTimeInMinutes"
"tt1345836","8.4","movie","The Dark Knight Rises","true","2012-07-20","164"
"tt0077711","8.2","movie","Autumn Sonata","true","1978-10-18","99"
"tt0077952","6.4","movie","Movie Movie","true","1978-11-08","105"
"tt8503618","8.6","movie","Hamilton","true","2020-07-03","160"
"tt0335266","7.7","movie","Lost in Translation","true","2003-10-03","102"
"tt8946378","7.9","movie","Knives Out","true","2019-11-27","130"
"tt1572315","4.8","movie","Texas Chainsaw","true","2013-01-04","92"
"tt1675434","8.5","movie","The Intouchables","true","2012-04-01","112"
"tt0167404","8.1","movie","The Sixth Sense","true","1999-08-06","107"
"tt0294870","6.9","movie","Rent","true","2005-11-23","135"
"tt0087884","8.1","movie","Paris, Texas","true","1984-10-14","145"
"tt0116282","8.1","movie","Fargo","true","1996-04-05","98"
"tt4016934","8.1","movie","The Handmaiden","true","2016-09-22","145"
"tt0121765","6.5","movie","Star Wars: Episode II - Attack of the Clones","true","2002-05-16","142"
"tt0121766","7.5","movie","Star Wars: Episode III - Revenge of the Sith","true","2005-05-19","140"
"tt4263482","6.9","movie","The Witch","true","2016-02-19","92"
"tt9738716","6.6","movie","The World to Come","true","2021-02-12","98"
"tt8522006","6.7","movie","Happiest Season","true","2020-11-25","102"
"tt0110632","7.3","movie","Natural Born Killers","true","1994-08-26","118"
"tt6753132","6.6","movie","Chained for Life","true","2019-12-10","91"
"tt0314331","7.6","movie","Love Actually","true","2003-11-14","135"
"tt0783233","7.8","movie","Atonement","true","2008-01-11","123"
"tt0097576","8.2","movie","Indiana Jones and the Last Crusade","true","1989-05-24","127"
"tt4925292","7.4","movie","Lady Bird","true","2017-12-01","94"
"tt1677720","7.5","movie","Ready Player One","true","2018-03-29","140"
"tt0051201","8.4","movie","Witness for the Prosecution","true","1958-02-06","116"
"tt4291600","6.8","movie","Lady Macbeth","true","2017-07-14","89"
"tt7040874","6.8","movie","A Simple Favor","true","2018-09-14","117"
"tt0347149","8.2","movie","Howl's Moving Castle","true","2005-06-17","119"
"tt0134619","5.7","movie","Disturbing Behavior","true","1998-07-24","84"
"tt0075314","8.3","movie","Taxi Driver","true","1976-02-09","114"
"tt1648190","5.6","movie","The Dark Tower","true","2017-08-04","95"
"tt1800302","6.7","movie","Gold","true","2017-01-27","120"
"tt0042876","8.2","movie","Rashomon","true","1951-12-26","88"
"tt0092099","6.9","movie","Top Gun","true","1986-05-16","110"
"tt0372784","8.2","movie","Batman Begins","true","2005-06-15","140"
"tt3294200","5.4","movie","The Falling","true","2015-08-07","102"
"tt10161886","6.1","movie","The Prom","true","2020-12-11","130"
"tt0120338","7.8","movie","Titanic","true","1997-12-19","194"
"tt2361509","7.1","movie","The Intern","true","2015-09-25","121"
"tt0478970","7.3","movie","Ant-Man","true","2015-07-17","117"
"tt3659388","8.0","movie","The Martian","true","2015-10-02","144"
"tt2382320","0.0","movie","No Time to Die","false","2021-04-02","163"
"tt0373889","7.5","movie","Harry Potter and the Order of the Phoenix","true","2007-07-11","138"
"tt2975590","6.4","movie","Batman v Superman: Dawn of Justice","true","2016-03-25","152"
"tt0076759","8.6","movie","Star Wars: Episode IV - A New Hope","true","1977-05-25","121"
"tt0803096","6.8","movie","Warcraft","true","2016-06-10","123"
"tt0407887","8.5","movie","The Departed","true","2006-10-06","151"
"tt0095016","8.2","movie","Die Hard","true","1988-07-20","132"
"tt2802144","7.7","movie","Kingsman: The Secret Service","true","2015-02-13","129"
"tt5074352","8.4","movie","Dangal","true","2016-12-21","161"
"tt0245429","8.6","movie","Spirited Away","true","2003-03-28","125"
"tt2025690","6.8","movie","The Finest Hours","true","2016-01-29","117"
"tt4857264","8.1","movie","The Invisible Guest","true","2016-09-23","106"
"tt0110413","8.5","movie","Léon: The Professional","true","1994-11-18","110"
"tt0073486","8.7","movie","One Flew Over the Cuckoo's Nest","true","1975-11-19","133"
"tt0119698","8.4","movie","Princess Mononoke","true","1997-12-19","134"
"tt1431045","8.0","movie","Deadpool","true","2016-02-12","108"
"tt1454029","8.0","movie","The Help","true","2011-08-10","146"
"tt0119217","8.3","movie","Good Will Hunting","true","1998-01-09","126"
"tt0365907","6.5","movie","A Walk Among the Tombstones","true","2014-09-19","114"
"tt1481572","6.8","movie","Happythankyoumoreplease","true","2010-01-20","100"
"tt2096673","8.1","movie","Inside Out","true","2015-06-19","95"
"tt0120689","8.6","movie","The Green Mile","true","1999-12-10","189"
"tt0015324","8.2","movie","Sherlock Jr.","true","1924-05-11","45"
"tt0109665","6.2","movie","Dream Lover","true","1994-05-06","103"
"tt5884052","6.6","movie","Pokémon Detective Pikachu","true","2019-05-10","104"
"tt0454824","6.5","movie","Flyboys","true","2006-09-22","140"
"tt1255953","8.3","movie","Incendies","true","2010-09-04","131"
"tt0353969","8.1","movie","Memories of Murder","true","2003-11-04","131"
"tt0099785","7.6","movie","Home Alone","true","1990-11-16","103"
"tt0116367","7.2","movie","From Dusk Till Dawn","true","1996-01-19","108"
"tt0816692","8.6","movie","Interstellar","true","2014-11-07","169"
"tt0079944","8.2","movie","Stalker","true","1982-10-20","162"
"tt4046784","6.3","movie","Maze Runner: The Scorch Trials","true","2015-09-18","131"
"tt0109830","8.8","movie","Forrest Gump","true","1994-07-06","142"
"tt0810913","3.3","movie","Jack and Jill","true","2011-11-11","91"
"tt0363771","6.9","movie","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","true","2005-12-09","143"
"tt0090605","8.3","movie","Aliens","true","1986-07-18","137"
"tt0032976","8.1","movie","Rebecca","true","1940-04-12","130"
"tt0105236","8.3","movie","Reservoir Dogs","true","1992-01-21","99"
"tt1661199","6.9","movie","Cinderella","true","2015-03-13","105"
"tt2119532","8.1","movie","Hacksaw Ridge","true","2016-11-04","139"
"tt3170832","8.1","movie","Room","true","2016-01-22","118"
"tt0103064","8.5","movie","Terminator 2: Judgment Day","true","1991-07-03","137"
"tt2172001","4.0","movie","Cyberstalker","true","2012-09-14","92"
"tt2531344","6.2","movie","Blockers","true","2018-04-06","102"
